id,name,city,cuisine,price_range,rating,tags
1,The Table Bistro,Pune,South Indian,3,3.5,late night|romantic
2,The Table Kitchenette,Chennai,Street Food,4,3.1,budget|late night
3,Madras Junction,Hyderabad,South Indian,2,4.4,buffet|live music|budget|pure veg
4,Saffron Corner,Bengaluru,South Indian,4,3.7,budget|outdoor seating
5,Royal Bistro,Chennai,Japanese,3,4.7,fine dining|family friendly|pure veg|buffet
6,Royal Cafe,Hyderabad,North Indian,3,4.7,outdoor seating|quick bite|budget|romantic
7,Spice Hub,Mumbai,Italian,1,4.7,live music|fine dining
8,Bombay Hub,Bengaluru,Mexican,3,3.7,fine dining|pet friendly|romantic|rooftop
9,Madras Kitchenette,Bengaluru,Italian,4,3.8,late night|buffet|budget|outdoor seating
10,Spice House,Mumbai,South Indian,4,3.5,quick bite|outdoor seating
11,Urban Hub,Delhi,Thai,4,3.3,budget|buffet
12,Madras Corner,Hyderabad,Seafood,4,4.8,outdoor seating|budget|rooftop
13,Madras Restaurant,Chennai,North Indian,1,3.3,pet friendly|live music
14,Saffron Bistro,Delhi,Japanese,4,4.1,family friendly|pet friendly|romantic|buffet
15,Golden Hub,Chennai,Mexican,3,3.9,family friendly|fine dining|buffet
16,Green Terrace,Pune,North Indian,3,4.7,quick bite|budget|rooftop|outdoor seating
17,Madras Kitchen,Mumbai,Mughlai,4,3.0,fine dining|budget|family friendly
18,Urban Junction,Chennai,North Indian,4,4.6,rooftop|late night|pure veg|buffet
19,Green Corner,Hyderabad,Street Food,4,4.9,late night|budget|fine dining|live music
20,The Table Hub,Delhi,Mexican,4,3.2,romantic|outdoor seating
21,Spice Junction,Bengaluru,Street Food,2,3.0,pet friendly|family friendly|budget|romantic
22,Spice Grill,Hyderabad,North Indian,2,3.6,budget|buffet|rooftop
23,Sunset Junction,Delhi,Mughlai,2,4.6,budget|romantic|pet friendly
24,The Table Cafe,Delhi,Mexican,4,3.9,family friendly|pet friendly|romantic|late night
25,Copper Kitchenette,Chennai,Mexican,2,3.4,pure veg|rooftop|live music|pet friendly
26,Golden Restaurant,Chennai,Italian,4,4.6,romantic|family friendly|buffet|pet friendly
27,Royal House,Delhi,Chinese,4,4.0,family friendly|rooftop|live music
28,Spice Cafe,Delhi,Continental,3,3.8,buffet|pet friendly|pure veg|rooftop
29,Urban Corner,Chennai,Italian,1,4.5,family friendly|quick bite
30,Bombay Terrace,Bengaluru,Street Food,1,4.9,rooftop|romantic
31,The Table House,Chennai,Japanese,2,4.2,quick bite|romantic
32,Copper Hub,Hyderabad,Mughlai,3,4.9,pet friendly|outdoor seating
33,Copper Diner,Pune,Bakery,3,3.9,family friendly|pure veg
34,Saffron Junction,Chennai,North Indian,2,4.0,outdoor seating|romantic
35,Urban Grill,Bengaluru,Continental,4,4.7,fine dining|quick bite|buffet|family friendly
36,The Table Terrace,Pune,Continental,1,4.9,fine dining|romantic
37,Royal Kitchenette,Bengaluru,Street Food,3,3.6,late night|outdoor seating
38,The Table Corner,Delhi,Street Food,3,4.8,romantic|pet friendly
39,Copper Corner,Chennai,South Indian,3,4.5,fine dining|rooftop|pure veg|buffet
40,Sunset Cafe,Chennai,Street Food,1,3.2,rooftop|buffet|family friendly|outdoor seating
41,Saffron Terrace,Delhi,Chinese,2,3.1,family friendly|outdoor seating|budget
42,Coastal Terrace,Hyderabad,Japanese,2,4.9,rooftop|late night
43,Copper Kitchen,Pune,Chinese,3,4.6,pet friendly|budget|fine dining
44,Green Kitchenette,Delhi,North Indian,1,4.7,budget|pure veg
45,Coastal Corner,Bengaluru,Italian,1,4.3,outdoor seating|fine dining|romantic
46,Golden Grill,Hyderabad,Bakery,4,4.4,outdoor seating|family friendly|romantic|fine dining
47,Green Junction,Chennai,Continental,1,4.2,late night|outdoor seating|live music
48,Saffron House,Chennai,Continental,4,3.0,pet friendly|late night|budget|outdoor seating
49,Copper Bistro,Mumbai,Bakery,3,4.3,late night|fine dining
50,Coastal Cafe,Mumbai,Seafood,2,3.4,live music|pet friendly|rooftop|fine dining
51,Copper Terrace,Mumbai,South Indian,3,3.4,quick bite|pet friendly|outdoor seating|pure veg
52,Bombay Restaurant,Bengaluru,Bakery,4,4.6,rooftop|pet friendly|romantic|fine dining
53,Madras Hub,Hyderabad,Bakery,3,3.2,pet friendly|fine dining
54,Urban House,Chennai,Chinese,1,3.5,quick bite|romantic|pure veg
55,Sunset Kitchenette,Delhi,Japanese,4,3.5,late night|family friendly|romantic|live music
56,Urban Diner,Hyderabad,Seafood,4,3.1,romantic|pure veg
57,Green Restaurant,Hyderabad,Bakery,3,4.9,quick bite|buffet|live music
58,Golden House,Mumbai,Bakery,4,4.3,pure veg|romantic|fine dining
59,Coastal Grill,Chennai,Street Food,2,3.3,late night|rooftop|budget
60,Copper Grill,Delhi,Street Food,4,3.1,live music|quick bite|family friendly
